Zip_Code,Station
31308,KSAV
30426,KAGS
30223,KFFC
39840,KBIJ
31548,KFHB
30420,KVDI
30179,KCTJ
30707,KCHA
31537,KJAX
31302,KSAV
31905,KLSF
30105,KRMG
30534,KGVL
30604,UNKNOWN
39854,KBIJ
30236,KATL
31642,KDQH
30068,KMGE
31532,KDQH
31738,KMGR
30824,KDNL
31647,KVAD
30271,UNKNOWN
31016,KOPN
31072,KWRB
30752,KCHA
30534,KGVL
39834,KTLH
30032,KPDK
31011,KDBN
31072,KWRB
31791,KABY
30134,KFTY
39841,KBIJ
31636,KVLD
31302,KSAV
30635,K18A
30457,KVDI
30423,KLHW
30541,KDNN
30269,KFFC
30124,KRMG
30534,KGVL
30520,K18A
30076,KPDK
30534,KGVL
30810,KDNL
31543,KJES
30701,KRMG
39834,KTLH
30677,KAHN
30043,KLZU
30511,KGVL
30518,KLZU
30678,K3J7
30179,KCTJ
31811,KCSG
30520,K18A
30108,KCTJ
30236,KATL
31025,KWRB
31733,KMGR
30548,KWDR
30014,KLZU
31532,KDQH
30810,KDNL
30442,KJYL
31002,KDBN
31211,KMCN
31016,KOPN
31605,KVAD
31002,KDBN
31787,KABY
31316,KLHW
30817,KDNL
31316,KLHW
31636,KVLD
30534,KGVL
30824,KDNL
31319,KBQK
31711,KLSF
30565,KAHN
31801,KLSF
30241,KLGC
39841,KBIJ
31744,KMGR
31016,KOPN
30457,KVDI
30625,K3J7
30711,KDNN
31801,KLSF
30014,KLZU
30638,KAHN
30630,KAHN
30134,KFTY
31076,KMCN
30534,KGVL
31551,KBHC
30206,KOPN
30124,KRMG
31036,KWRB
30625,K3J7
39854,KBIJ
30568,K1A5
39840,KBIJ
30912,KDNL
30016,KATL
31711,KLSF
30424,UNKNOWN
39825,KMAI
30223,KFFC
30598,KAJR
39854,KBIJ
31711,KLSF
31801,KLSF
30673,KIIY
30420,KVDI
31076,KMCN
31037,KVDI
31721,KABY
31738,KMGR
31733,KMGR
30436,KVDI
30582,KRHP
30457,KVDI
30241,KLGC
31714,KABY
31031,KMCN
30514,KRHP
31016,KOPN
30752,KCHA
30014,KLZU
31552,KAYS
30824,KDNL
31096,KDBN
31543,KJES
31825,KLSF
30411,KVDI
30527,KGVL
30722,KDNN
31072,KWRB
30817,KDNL
31021,KDBN
31791,KABY
96740,PHKO
96792,PHHI
96742,PHMK
96754,PHLI
96748,PHMK
83642,KBOI
83638,KMYL
83205,UNKNOWN
83238,K1U7
83830,OTI1
83354,KSUN
83637,UNKNOWN
83822,OOI1
83805,FYI1
83322,KSUN
83686,KEUL
83217,TD33
83318,KBYI
83544,3277
83253,DOI1
83648,KMUO
83237,TD04
83629,OGI1
83330,KJER
83549,CFI1
83325,KTWF
83810,KCOE
83844,KPUW
83253,DOI1
83555,ISI1
83330,KJER
83555,ISI1
83252,TD04
83639,KEUL
83619,KONO
83204,TD25
83830,OTI1
83424,KDIJ
83303,KJER
83638,KMYL
83632,UNKNOWN
62301,KUIN
62914,KPAH
62249,KALN
61114,KRFD
62375,KUIN
61560,KC75
62047,KSET
61053,KFEP
62627,KIJX
61864,KCMI
62545,KSPI
62478,KRSV
62448,KOLY
62249,KALN
62447,KMTO
60067,KPWK
62466,KAJG
62447,KMTO
60152,KDKB
61735,KBMI
61872,KCMI
60517,KLOT
61933,KPRG
62815,KAJG
62479,K1H2
62011,KTAZ
60921,KPNT
62822,KMWA
61531,KPIA
62821,KCUL
62027,KSET
60424,KC09
62828,KMVN
62379,KEOK
62947,KHSB
61418,KBRL
61254,KMLI
60912,KIKK
62272,KSAR
62448,KOLY
62864,KMVN
62035,KALN
61085,KFEP
62972,KMWA
60136,KDPA
60424,KC09
60544,KLOT
61412,KGBG
60051,KUGN
61360,KC09
62439,KLWV
60553,KRPJ
60921,KPNT
62634,KAAA
61440,KMQB
60051,KUGN
61723,KAAA
62573,KDEC
62069,KALN
62035,KALN
62885,KSLO
61523,KC75
61546,KPIA
62960,KPAH
62625,KSPI
61412,KGBG
62278,KSAR
62069,KALN
62621,KPPQ
61937,KDEC
61047,KFEP
61523,KC75
62268,KSAR
61936,KDEC
62314,KPPQ
62960,KPAH
62956,KPAH
61560,KC75
62278,KSAR
62448,KOLY
61282,KMLI
62223,KCPS
62972,KMWA
62545,KSPI
62624,KI63
62621,KPPQ
62465,K1H2
61449,KGBG
61047,KFEP
61546,KPIA
62952,KCGI
61841,KDNV
62410,KAJG
61412,KGBG
62268,KSAR
62837,KFWC
62821,KCUL
61254,KMLI
60403,KLOT
62918,KMWA
61047,KFEP
61744,KBMI
46780,UNKNOWN
46725,KFWA
47274,KBAK
47944,KLAF
47359,KMZZ
46147,KCFJ
47274,KBAK
46915,KGGP
46998,KGGP
47119,KLOU
47802,KHUF
46039,KOKK
47175,KHNB
47553,KDCY
47001,KCVG
46156,KGEZ
46747,KGWB
46012,KMIE
47523,KHNB
46514,KEKM
47331,KGEZ
47164,KSDF
47958,KLAF
47060,KCVG
46910,KRCR
47633,KEVV
46933,KMZZ
47441,KDCY
46268,KEYE
46229,KMQJ
47164,KSDF
46158,KIND
46056,KMQJ
46902,KOKK
46725,KFWA
47229,KIMS
46380,KVPZ
47390,KMIE
47224,KCVG
47229,KIMS
46106,KIND
47596,KDCY
46504,KASW
46746,KIRS
46311,KIGQ
46391,KVPZ
47108,KBMG
46040,KMQJ
46201,KIND
46504,KASW
47633,KEVV
46910,KRCR
47408,KBMG
47990,KCFJ
46158,KIND
46310,KVPZ
46725,KFWA
47001,KCVG
47108,KBMG
47588,KHNB
47660,KHNB
46301,KVPZ
47620,KEHR
47960,KMCX
47840,KHUF
47355,KMIE
47224,KCVG
46156,KGEZ
46613,KSBN
47141,KLOU
47240,KBAK
47523,KHNB
46374,KOXI
46737,KOEB
47850,KHUF
47224,KCVG
47901,KLAF
46902,KOKK
47331,KGEZ
47633,KEVV
47854,KPRG
47802,KHUF
46919,KMZZ
47991,KDNV
47660,KHNB
47108,KBMG
47346,KMIE
46798,KFWA
47950,KMCX
46725,KFWA
50002,KADU
50857,KICL
52170,KPDC
52574,KCNC
50117,KADU
50651,KVTI
50701,KALO
50220,KPRO
50622,KALO
50651,KVTI
50568,KSLB
50433,KMCW
50579,KCIN
51466,KCIN
51532,KRDK
52253,KCID
50458,KMCW
51047,KCKP
52132,KDEH
50222,KI75
51047,KCKP
52035,KPDC
52069,KCWI
51006,KDNS
50063,KPRO
52560,KFFL
50108,KLWD
52065,KMXO
52640,KMPZ
51347,KSPW
52033,KMXO
51365,KEST
50655,KOLZ
50458,KMCW
50071,KCAV
51647,KSDA
50220,KPRO
50638,KMIW
50002,KADU
50236,KAMW
50447,KCAV
50206,KIFA
51550,KTQE
52656,KFSW
50628,KCCY
50519,KAXA
51006,KDNS
52361,KCID
52069,KCWI
50170,KTNU
52641,KMPZ
52240,KIOW
52033,KMXO
50268,KOTM
50480,KAXA
52656,KFSW
52213,KVTI
52659,KMPZ
50060,KCNC
51201,KSHL
50222,KI75
50268,KOTM
50170,KTNU
50206,KIFA
51551,KRDK
50458,KMCW
51572,KDNS
52553,KOOA
50857,KICL
52720,KMUT
51201,KSHL
51201,KSHL
51647,KSDA
50546,KAXA
51109,KSUX
50568,KSLB
50109,KIKV
51525,KRDK
52339,KGGI
50861,KCSQ
50568,KSLB
52748,KDVN
51578,KDNS
51201,KSHL
50201,KAMW
50638,KMIW
50857,KICL
50861,KCSQ
52570,KFFL
52553,KOOA
50125,KDSM
52247,KIOW
50060,KCNC
50530,KEBS
50465,KFXY
52132,KDEH
51006,KDNS
50440,KMCW
50071,KCAV
66749,KK88
66014,KIXD
66058,KTOP
67104,KP28
67665,KRSL
66738,KIXD
66094,KFNB
67042,KEQA
66869,KEMP
67344,KIDP
67336,KCFV
67741,KGLD
67834,KDDC
67410,KSLN
66935,KCNK
66783,KK88
67029,KP28
67005,KWLD
66712,KJLN
67749,KMCK
66441,KMHK
66094,KFNB
66049,KLWC
67054,KPTT
67344,KIDP
67640,KRSL
67423,KSLN
67851,KGCK
67834,KDDC
66033,KOWI
66441,KMHK
67748,KGLD
67625,KHLC
67855,KEHA
67844,KDDC
67879,KLAA
66870,KEMP
67857,KGCK
67009,KP28
67117,KEWK
67880,KLBL
67854,KDDC
66058,KTOP
66086,KLWC
66939,KCNK
66083,KIXD
67838,KGCK
67025,KICT
67054,KPTT
67336,KCFV
67839,KGCK
66086,KLWC
67455,KSLN
66014,KIXD
67748,KGLD
66868,KEMP
67448,KSLN
66869,KEMP
66406,KMYZ
67869,KLBL
66083,KIXD
67485,KRSL
67344,KIDP
66873,KEMP
67954,KEHA
66521,KMYZ
67341,KPPF
67518,KGCK
67629,KHLC
66414,KFOE
67473,KRSL
66901,KCNK
67575,KGBD
67644,KHLC
66547,KMHK
67035,KPTT
67749,KMCK
67025,KICT
66935,KCNK
67573,KHUT
66442,KMHK
67659,KHLC
67575,KGBD
67665,KRSL
67448,KSLN
67851,KGCK
67025,KICT
67951,KLBL
66414,KFOE
67757,KHLC
67732,KGLD
66967,KHDE
67526,KGBD
67855,KEHA
67951,KLBL
67026,KICT
67748,KGLD
67656,KHLC
66431,KFOE
67861,KGCK
66943,KMYZ
67861,KGCK
66736,KCNU
66749,KK88
66115,KMKC
42129,KGLW
42133,KGLW
40046,KFFT
42024,KPAH
42133,KGLW
40358,KSYM
40958,KI35
41048,KCVG
40311,KLEX
41102,KHTS
40468,KDVK
41043,KI69
41339,KJKL
40146,KFTK
40229,KSDF
42101,KBWG
42211,KHOP
42048,KPAH
41074,KLUK
42039,KPAH
40075,KFFT
41121,UNKNOWN
40437,KDVK
42215,KHOP
40353,KIOB
40914,KI35
42602,KSME
42038,KHOP
42129,KGLW
42348,KOWB
42101,KBWG
41171,KSYM
40312,KIOB
40503,KLEX
41056,KFGX
41642,KPBX
40621,UNKNOWN
42041,KPAH
41045,KCVG
40403,KDVK
41097,KCVG
42054,KPAH
42726,KGLW
42716,KFTK
41102,KHTS
42348,KOWB
40051,KFTK
40927,KI35
40311,KLEX
42729,KGLW
42419,KEHR
40019,KFFT
42041,KPAH
42445,KHOP
40481,KLOZ
40269,UNKNOWN
40383,KLEX
41255,KSJS
41017,KCVG
41339,KJKL
40903,K1A6
40051,KFTK
40740,KLOZ
41124,KSJS
41339,KJKL
40858,KI35
41833,KLNP
41056,KFGX
40437,KDVK
42081,KPAH
42265,KBWG
42038,KHOP
42001,KPAH
40769,KBYL
42352,KOWB
40403,KDVK
41464,KJKL
40037,KFTK
42048,KPAH
41267,KSJS
41044,KFGX
40146,KFTK
40346,KIOB
40468,KDVK
42166,KGLW
42140,KGLW
40353,KIOB
41421,KSYM
42367,KOWB
40051,KFTK
40311,KLEX
42354,KOWB
40241,KLOU
41046,KCVG
41311,KJKL
41097,KCVG
41339,KJKL
41519,KPBX
40376,KIOB
40409,KDVK
41031,KLEX
40403,KDVK
40317,KSYM
42642,KSME
40370,KFFT
40019,KFFT
42104,KBWG
40046,KFFT
42716,KFTK
42265,KBWG
42038,KHOP
40006,KLOU
42459,KEHR
42101,KBWG
40468,KDVK
42642,KSME
42437,KEHR
40769,KBYL
41311,KJKL
40383,KLEX
70543,KLFT
70640,KLCH
71362,KESF
70653,KDRI
71070,KIER
71006,KDTN
71103,KDTN
70605,KLCH
71465,KESF
70630,KLCH
71340,K0R4
71256,KELD
71373,K0R4
71063,KIER
70805,KBTR
71254,KTVR
70748,KHZR
70580,KACP
71269,KMLU
71360,KESF
70560,KARA
71238,KRSN
70058,KNBG
70591,KLCH
70517,KLFT
70374,KHUM
71479,KESF
71275,KRSN
70706,KBTR
71233,KTVR
71280,KMLU
71070,KIER
70121,KMSY
71202,KMLU
70041,KBVE
70749,KHZR
71438,KAEX
71115,KSHV
71269,KMLU
71429,KIER
70092,KNBG
70087,KMSY
70706,KBTR
70084,KMSY
71362,KESF
70517,KLFT
70540,KPTN
70420,KASD
70454,KHDC
71334,K0R4
70360,KHUM
71280,KMLU
70560,KARA
71429,KIER
70444,KMCB
71075,KMNE
70773,KHZR
71263,KBQP
70748,KHZR
71070,KIER
4212,UNKNOWN
4487,UNKNOWN
4062,UNKNOWN
4984,UNKNOWN
4616,UNKNOWN
4345,UNKNOWN
4856,UNKNOWN
4539,UNKNOWN
4220,UNKNOWN
4487,UNKNOWN
4426,UNKNOWN
4345,UNKNOWN
4942,UNKNOWN
4438,UNKNOWN
4619,UNKNOWN
3901,UNKNOWN
21529,KCBE
20779,KADW
21043,KBWI
20678,K2W6
21636,KDOV
21757,KFDK
21914,KILG
20693,KNYG
21613,KNHK
20842,KFDK
21531,K2G4
21014,KMTN
21043,KBWI
21645,KMTN
20815,KCGS
20705,KCGS
21619,KNAK
20634,K2W6
21817,KWAL
21601,KNAK
21783,KHGR
21802,KSBY
21872,KOXB
21202,KDMH
2642,UNKNOWN
1026,UNKNOWN
2762,UNKNOWN
2535,UNKNOWN
1810,UNKNOWN
1376,UNKNOWN
1085,UNKNOWN
1026,UNKNOWN
1462,UNKNOWN
2584,UNKNOWN
2026,UNKNOWN
2738,UNKNOWN
2026,UNKNOWN
1436,UNKNOWN
48728,KAPN
49891,KSAW
49080,KAZO
49744,KAPN
49729,KCVX
48650,KIKW
49946,KCMX
48849,KY70
48642,KIKW
49617,KTVC
49120,KSBN
49040,KIRS
49224,KRMY
49031,KEKM
49729,KCVX
49769,KPLN
49783,UNKNOWN
48632,KMOP
48840,KLAN
48653,KHTL
49837,KESC
49801,KIMT
48849,KY70
49769,KPLN
48462,KPTK
