,FIPs,County,State,Zip_Code,Station
137,5055,Greene County,AR,72436,KTKX
138,5057,Hempstead County,AR,71862,KTXK
139,5059,Hot Spring County,AR,71933,KHOT
140,5061,Howard County,AR,71971,KDEQ
141,5063,Independence County,AR,72112,KJBR
142,5065,Izard County,AR,72561,KBVX
143,5067,Jackson County,AR,72112,KJBR
144,5069,Jefferson County,AR,72073,KSGT
145,5071,Johnson County,AR,72830,KRUE
146,5073,Lafayette County,AR,71861,KMNE
147,5075,Lawrence County,AR,72440,KARG
148,5077,Lee County,AR,72366,KCKM
149,5079,Lincoln County,AR,71603,KPBF
150,5081,Little River County,AR,71853,KTXK
151,5083,Logan County,AR,72933,KFSM
152,5085,Lonoke County,AR,72037,KSGT
153,5087,Madison County,AR,72703,KASG
154,5089,Marion County,AR,72661,KBPK
155,5091,Miller County,AR,71834,KTXK
156,5093,Mississippi County,AR,72330,KJBR
157,5095,Monroe County,AR,72021,KSGT
158,5097,Montgomery County,AR,71933,KHOT
159,5099,Nevada County,AR,71858,KTXK
160,5101,Newton County,AR,72628,KHRO
161,5103,Ouachita County,AR,71701,KCDH
162,5105,Perry County,AR,72001,KRUE
163,5107,Phillips County,AR,72366,KCKM
164,5109,Pike County,AR,71971,KDEQ
165,5111,Poinsett County,AR,72421,KJBR
166,5113,Polk County,AR,71944,KDEQ
167,5115,Pope County,AR,72801,KRUE
168,5117,Prairie County,AR,72170,KSGT
169,5119,Pulaski County,AR,72116,KLIT
170,5121,Randolph County,AR,72413,KARG
171,5123,St. Francis County,AR,72021,KSGT
172,5125,Saline County,AR,72019,KLIT
173,5127,Scott County,AR,72944,KRKR
174,5129,Searcy County,AR,72686,KCCA
175,5131,Sebastian County,AR,72903,KFSM
176,5133,Sevier County,AR,71832,KDEQ
177,5135,Sharp County,AR,72542,KARG
178,5137,Stone County,AR,72153,KCCA
179,5139,Union County,AR,71730,KELD
180,5141,Van Buren County,AR,72013,KCCA
181,5143,Washington County,AR,72703,KASG
182,5145,White County,AR,72010,KBVX
183,5147,Woodruff County,AR,72112,KJBR
184,5149,Yell County,AR,72857,KRUE
185,6001,Alameda County,CA,94501,KOAK
186,6003,Alpine County,CA,96120,KRNO
187,6005,Amador County,CA,95666,KSCK
188,6007,Butte County,CA,95917,KOVE
189,6009,Calaveras County,CA,95228,KSCK
190,6011,Colusa County,CA,95645,KSMF
